Year,Link
2008,https://www.cricbuzz.com/cricket-series/2058/indian-premier-league-2008/matches
2009,https://www.cricbuzz.com/cricket-series/2059/indian-premier-league-2009/matches
2010,https://www.cricbuzz.com/cricket-series/2060/indian-premier-league-2010/matches
2011,https://www.cricbuzz.com/cricket-series/2037/indian-premier-league-2011/matches
2012,https://www.cricbuzz.com/cricket-series/2115/indian-premier-league-2012/matches
2013,https://www.cricbuzz.com/cricket-series/2170/indian-premier-league-2013/matches
2014,https://www.cricbuzz.com/cricket-series/2261/indian-premier-league-2014/matches
2015,https://www.cricbuzz.com/cricket-series/2330/indian-premier-league-2015/matches
2016,https://www.cricbuzz.com/cricket-series/2430/indian-premier-league-2016/matches
2017,https://www.cricbuzz.com/cricket-series/2568/indian-premier-league-2017/matches
2018,https://www.cricbuzz.com/cricket-series/2676/indian-premier-league-2018/matches
2019,https://www.cricbuzz.com/cricket-series/2810/indian-premier-league-2019/matches
2020,https://www.cricbuzz.com/cricket-series/3130/indian-premier-league-2020/matches
2021,https://www.cricbuzz.com/cricket-series/3472/indian-premier-league-2021/matches
2022,https://www.cricbuzz.com/cricket-series/4061/indian-premier-league-2022/matches
2023,https://www.cricbuzz.com/cricket-series/5945/indian-premier-league-2023/matches
2024,https://www.cricbuzz.com/cricket-series/7607/indian-premier-league-2024/matches
2025,https://www.cricbuzz.com/cricket-series/9237/indian-premier-league-2025/matches
