Year,Team,Player,Role,Image,Profile_URL,Source_URL
2016,Mumbai Indians Squad,Rohit Sharma (Captain),Batsman,https://static.cricbuzz.com/a/img/v1/i1/c616514/rohit-sharma.jpg?d=low&p=gthumb,https://www.cricbuzz.com/profiles/576/rohit-sharma,https://www.cricbuzz.com/cricket-series/2430/indian-premier-league-2016/squads
2016,Mumbai Indians Squad,Ambati Rayudu,Batsman,https://static.cricbuzz.com/a/img/v1/i1/c171012/ambati-rayudu.jpg?d=low&p=gthumb,https://www.cricbuzz.com/profiles/6311/ambati-rayudu,https://www.cricbuzz.com/cricket-series/2430/indian-premier-league-2016/squads
2016,Mumbai Indians Squad,Lendl Simmons,Batsman,https://static.cricbuzz.com/a/img/v1/i1/c157836/lendl-simmons.jpg?d=low&p=gthumb,https://www.cricbuzz.com/profiles/599/lendl-simmons,https://www.cricbuzz.com/cricket-series/2430/indian-premier-league-2016/squads
2016,Mumbai Indians Squad,Siddhesh Lad,Batsman,https://static.cricbuzz.com/a/img/v1/i1/c174146/siddhesh-lad.jpg?d=low&p=gthumb,https://www.cricbuzz.com/profiles/9218/siddhesh-lad,https://www.cricbuzz.com/cricket-series/2430/indian-premier-league-2016/squads
2016,Mumbai Indians Squad,Nitish Rana,Batsman,https://static.cricbuzz.com/a/img/v1/i1/c171047/nitish-rana.jpg?d=low&p=gthumb,https://www.cricbuzz.com/profiles/9204/nitish-rana,https://www.cricbuzz.com/cricket-series/2430/indian-premier-league-2016/squads
2016,Mumbai Indians Squad,Hardik Pandya,Batting Allrounder,https://static.cricbuzz.com/a/img/v1/i1/c616519/hardik-pandya.jpg?d=low&p=gthumb,https://www.cricbuzz.com/profiles/9647/hardik-pandya,https://www.cricbuzz.com/cricket-series/2430/indian-premier-league-2016/squads
2016,Mumbai Indians Squad,Corey Anderson,Batting Allrounder,https://static.cricbuzz.com/a/img/v1/i1/c156103/corey-anderson.jpg?d=low&p=gthumb,https://www.cricbuzz.com/profiles/8982/corey-anderson,https://www.cricbuzz.com/cricket-series/2430/indian-premier-league-2016/squads
2016,Mumbai Indians Squad,Krunal Pandya,Batting Allrounder,https://static.cricbuzz.com/a/img/v1/i1/c171069/krunal-pandya.jpg?d=low&p=gthumb,https://www.cricbuzz.com/profiles/11311/krunal-pandya,https://www.cricbuzz.com/cricket-series/2430/indian-premier-league-2016/squads
2016,Mumbai Indians Squad,Kieron Pollard,Batting Allrounder,https://static.cricbuzz.com/a/img/v1/i1/c226283/kieron-pollard.jpg?d=low&p=gthumb,https://www.cricbuzz.com/profiles/657/kieron-pollard,https://www.cricbuzz.com/cricket-series/2430/indian-premier-league-2016/squads
2016,Mumbai Indians Squad,Unmukt Chand,WK-Batsman,https://static.cricbuzz.com/a/img/v1/i1/c155139/unmukt-chand.jpg?d=low&p=gthumb,https://www.cricbuzz.com/profiles/7904/unmukt-chand,https://www.cricbuzz.com/cricket-series/2430/indian-premier-league-2016/squads
